1000	2.9410999996e-03
2000	7.6918000013e-03
3000	1.0746900000e-02
4000	1.8250400000e-02
5000	2.1536599997e-02
6000	2.8583800002e-02
7000	2.7433200001e-02
8000	3.5033900000e-02
9000	3.4243300001e-02
10000	3.8171000000e-02
11000	4.6642000001e-02
12000	4.8402800003e-02
13000	5.1006500002e-02
14000	5.5440000000e-02
15000	6.0216400001e-02
16000	6.3849900002e-02
17000	6.8367800002e-02
18000	8.6148800001e-02
19000	8.1941000000e-02
20000	8.5231499997e-02
21000	9.9116199999e-02
22000	1.0569450000e-01
23000	1.1071410000e-01
24000	1.0270900000e-01
25000	1.0674980000e-01
26000	1.0972160000e-01
27000	1.1586700000e-01
28000	1.2048050000e-01
29000	1.2240380000e-01
30000	1.2749070000e-01
31000	1.3083750000e-01
32000	1.3682740000e-01
33000	1.4119470000e-01
34000	1.4478030000e-01
35000	1.4968350000e-01
36000	1.5750540000e-01
37000	1.5904790000e-01
38000	1.6376870000e-01
39000	1.7066750000e-01
40000	1.7479560000e-01
41000	1.8290450000e-01
42000	1.8326070000e-01
43000	1.8872160000e-01
44000	1.9404220000e-01
45000	1.9683130000e-01
46000	2.0287830000e-01
47000	2.0920600000e-01
48000	2.2047910000e-01
49000	2.1946910000e-01
50000	2.2596310000e-01
51000	2.3080030000e-01
52000	2.3620260000e-01
53000	2.4034810000e-01
54000	2.4407190000e-01
55000	2.4864440000e-01
56000	2.5517180000e-01
57000	2.6129530000e-01
58000	2.6499530000e-01
59000	2.7022510000e-01
60000	2.7459830000e-01
61000	2.8948660000e-01
62000	2.9201210000e-01
63000	2.9194190000e-01
64000	2.9272090000e-01
65000	2.9765000000e-01
66000	3.0481510000e-01
67000	3.0949300000e-01
68000	3.1607640000e-01
69000	3.1531280000e-01
70000	3.2389810000e-01
71000	3.2946380000e-01
72000	3.3722370000e-01
73000	3.4402300000e-01
74000	3.4612310000e-01
75000	3.4597870000e-01
76000	3.5567180000e-01
77000	3.6540010000e-01
78000	3.6553480000e-01
79000	3.6889200000e-01
80000	3.6991340000e-01
81000	3.7539690000e-01
82000	3.8354390000e-01
83000	3.8988270000e-01
84000	3.9381090000e-01
85000	4.0003180000e-01
86000	4.0460110000e-01
87000	4.0762310000e-01
88000	4.1704170000e-01
89000	4.2204220000e-01
90000	4.2864100000e-01
91000	4.3408370000e-01
92000	4.3855500000e-01
93000	4.4622910000e-01
94000	4.4966090000e-01
95000	4.5384890000e-01
96000	4.6140460000e-01
97000	4.6347880000e-01
98000	4.6991120000e-01
99000	4.7729190000e-01
100000	4.8065400000e-01
101000	4.8766680000e-01
102000	4.8937590000e-01
103000	5.0037810000e-01
104000	5.1031560000e-01
105000	5.1157640000e-01
106000	5.3083340000e-01
107000	5.4532070000e-01
108000	5.3480630000e-01
109000	5.4488960000e-01
110000	5.4141900000e-01
111000	5.8931800000e-01
112000	5.4588160000e-01
113000	5.5651050000e-01
114000	5.6847290000e-01
115000	5.6305380000e-01
116000	5.7441550000e-01
117000	5.9041240000e-01
118000	6.0338360000e-01
119000	5.8695270000e-01
120000	5.8822920000e-01
121000	6.0873690000e-01
122000	6.0609530000e-01
123000	6.0586430000e-01
124000	6.3153190000e-01
125000	6.3004440000e-01
126000	6.4326680000e-01
127000	6.7429910000e-01
128000	7.5703050000e-01
129000	6.5710090000e-01
130000	6.6816730000e-01
131000	6.6693520000e-01
132000	6.7387940000e-01
133000	6.7985520000e-01
134000	6.6057590000e-01
135000	6.6161470000e-01
136000	6.7362440000e-01
137000	6.7421020000e-01
138000	6.8520850000e-01
139000	6.8955220000e-01
140000	6.9629140000e-01
141000	7.0024230000e-01
142000	7.1108880000e-01
143000	7.1145580000e-01
144000	7.2884020000e-01
145000	7.2144060000e-01
146000	7.3489120000e-01
147000	7.8162930000e-01
148000	7.6679600000e-01
149000	8.2226850000e-01
150000	8.5738520000e-01
151000	8.2519640000e-01
152000	8.7893150000e-01
153000	8.0784300000e-01
154000	8.1776510000e-01
155000	7.9657590000e-01
156000	7.8602690000e-01
157000	7.8952490000e-01
158000	7.9377800000e-01
159000	8.1088580000e-01
